dcterms_identifier,dc_contributor,iri,contactURL,morphbankUserID,dcterms_modified,type
baskauf,Steven J. Baskauf,http://bioimages.vanderbilt.edu/contact/baskauf,http://bioimages.vanderbilt.edu/contact/baskauf,224687,2015-02-28T07:30:10-06:00,Person
kirchoff,Bruce K. Kirchoff,http://bioimages.vanderbilt.edu/contact/kirchoff,http://www.uncg.edu/~kirchoff,99371,2015-02-28T07:30:10-06:00,Person
masone,Emily C. Mason,http://bioimages.vanderbilt.edu/contact/kirchoff#masone,http://bioimages.vanderbilt.edu/contact/kirchoff,,2015-02-28T07:30:10-06:00,Person
thomas,Ron Thomas,http://bioimages.vanderbilt.edu/contact/thomas,http://wildflowerlense.com/,819872,2015-02-28T07:30:10-06:00,Person
uncg,University of North Carolina at Greensboro Arboretum,http://biocol.org/urn:lsid:biocol.org:col:35269,http://biocol.org/urn:lsid:biocol.org:col:35269,,2015-02-28T07:30:10-06:00,Organization
vanderbilt,Vanderbilt University Arboretum,http://biocol.org/urn:lsid:biocol.org:col:35259,http://vanderbilt.edu/trees/,,2015-02-28T07:30:10-06:00,Organization
weakleya,Alan S. Weakley,http://bioimages.vanderbilt.edu/contact/uri#weakleya,http://www.herbarium.unc.edu/Collectors/Weakley_Alan.htm,,2015-02-28T07:30:10-06:00,Person
