ubioID|dcterms_identifier|dwc_kingdom|dwc_class|dwc_order|dwc_family|dwc_genus|dwc_specificEpithet|dwc_infraspecificEpithet|dwc_taxonRank|dwc_scientificNameAuthorship|dwc_vernacularName|dcterms_modified
455516|27824|Plantae|Magnoliopsida|Cornales|Cornaceae|Nyssa|aquatica||species|L.|water tupelo|2015-09-21T18:09:43-05:00
470734|195925|Plantae|Magnoliopsida|Cornales|Cornaceae|Nyssa|biflora||species|Walter|swamp tupelo|2015-09-21T18:09:43-05:00
455514|27821|Plantae|Magnoliopsida|Cornales|Cornaceae|Nyssa|sylvatica||species|Marshall|blackgum|2015-09-21T18:09:43-05:00
457359|30104|Plantae|Magnoliopsida|Gentianales|Gentianaceae|Obolaria|virginica||species|L.|Virginia pennywort|2015-09-21T18:09:43-05:00
455111|27368|Plantae|Magnoliopsida|Myrtales|Onagraceae|Oenothera|biennis||species|L.|common evening primrose|2015-09-21T18:09:43-05:00
455112|27369|Plantae|Magnoliopsida|Myrtales|Onagraceae|Oenothera|fruticosa||species|L.|narrowleaf evening primrose|2015-09-21T18:09:43-05:00
474846|504004|Plantae|Magnoliopsida|Myrtales|Onagraceae|Oenothera|macrocarpa||species|Nutt.|bigfruit evening primrose|2015-09-21T18:09:43-05:00
455145|27415|Plantae|Magnoliopsida|Myrtales|Onagraceae|Oenothera|speciosa||species|Nutt.|pinkladies|2015-09-21T18:09:43-05:00
455149|27420|Plantae|Magnoliopsida|Myrtales|Onagraceae|Oenothera|triloba||species|Nutt.|stemless evening primrose|2015-09-21T18:09:43-05:00
454684|26808|Plantae|Magnoliopsida|Fabales|Fabaceae|Olneya|tesota||species|A. Gray|desert ironwood|2015-09-21T18:09:43-05:00
474870|504032|Plantae|Filicopsida|Ophioglossales|Ophioglossaceae|Ophioglossum|engelmannii||species|Prantl|limestone adderstongue|2015-09-21T18:09:43-05:00
456737|29397|Plantae|Magnoliopsida|Apiales|Araliaceae|Oplopanax|horridus||species|(Sm.) Miq.|devilsclub|2015-09-21T18:09:43-05:00
470403|195316|Plantae|Magnoliopsida|Caryophyllales|Cactaceae|Opuntia|engelmannii||species|Salm-Dyck ex Engelm.|cactus apple|2015-09-21T18:09:43-05:00
470409|195322|Plantae|Magnoliopsida|Caryophyllales|Cactaceae|Opuntia|engelmannii|linguiformis|variety|Salm-Dyck ex Engelm.|cactus apple|2015-09-21T18:09:43-05:00
448685|19710|Plantae|Magnoliopsida|Caryophyllales|Cactaceae|Opuntia|humifusa||species|(Raf.) Raf.|devil's-tongue|2015-09-21T18:09:43-05:00
470420|195334|Plantae|Magnoliopsida|Caryophyllales|Cactaceae|Opuntia|santa-rita||species|(Griffiths & Hare) Rose|Santa Rita pricklypear|2015-09-21T18:09:43-05:00
