dcterms_identifier|dc_creator|tcsSignature|dcterms_title|dc_publisher|dcterms_created|iri|dcterms_modified
vanderbilt1994-18|Vanderbilt University|Vanderbilt 1994|The Trees of Vanderbilt: Seven Walks Through the Vanderbilt University Arboretum|Office of Publications and Design, Vanderbilt University, Nashville, TN, US|1994|http://bioimages.vanderbilt.edu/vu-arboretum/trees-of-vu018|2015-04-06T15:08:18-05:00
vanderbilt1994-21|Vanderbilt University|Vanderbilt 1994|The Trees of Vanderbilt: Seven Walks Through the Vanderbilt University Arboretum|Office of Publications and Design, Vanderbilt University, Nashville, TN, US|1994|http://bioimages.vanderbilt.edu/vu-arboretum/trees-of-vu021|2015-04-06T15:08:18-05:00
vanderbilt1994-22|Vanderbilt University|Vanderbilt 1994|The Trees of Vanderbilt: Seven Walks Through the Vanderbilt University Arboretum|Office of Publications and Design, Vanderbilt University, Nashville, TN, US|1994|http://bioimages.vanderbilt.edu/vu-arboretum/trees-of-vu022|2015-04-06T15:08:18-05:00
vanderbilt1994-46|Vanderbilt University|Vanderbilt 1994|The Trees of Vanderbilt: Seven Walks Through the Vanderbilt University Arboretum|Office of Publications and Design, Vanderbilt University, Nashville, TN, US|1994|http://bioimages.vanderbilt.edu/vu-arboretum/trees-of-vu046|2015-04-06T15:08:18-05:00
vanderbilt1994-67|Vanderbilt University|Vanderbilt 1994|The Trees of Vanderbilt: Seven Walks Through the Vanderbilt University Arboretum|Office of Publications and Design, Vanderbilt University, Nashville, TN, US|1994|http://bioimages.vanderbilt.edu/vu-arboretum/trees-of-vu067|2015-04-06T15:08:18-05:00
vanderbilt1994-32|Vanderbilt University|Vanderbilt 1994|The Trees of Vanderbilt: Seven Walks Through the Vanderbilt University Arboretum|Office of Publications and Design, Vanderbilt University, Nashville, TN, US|1994|http://bioimages.vanderbilt.edu/vu-arboretum/trees-of-vu032|2015-04-06T15:08:18-05:00
vanderbilt1994-27|Vanderbilt University|Vanderbilt 1994|The Trees of Vanderbilt: Seven Walks Through the Vanderbilt University Arboretum|Office of Publications and Design, Vanderbilt University, Nashville, TN, US|1994|http://bioimages.vanderbilt.edu/vu-arboretum/trees-of-vu027|2015-04-06T15:08:18-05:00
vanderbilt1994-87|Vanderbilt University|Vanderbilt 1994|The Trees of Vanderbilt: Seven Walks Through the Vanderbilt University Arboretum|Office of Publications and Design, Vanderbilt University, Nashville, TN, US|1994|http://bioimages.vanderbilt.edu/vu-arboretum/trees-of-vu087|2015-04-06T15:08:18-05:00
vanderbilt1994-77|Vanderbilt University|Vanderbilt 1994|The Trees of Vanderbilt: Seven Walks Through the Vanderbilt University Arboretum|Office of Publications and Design, Vanderbilt University, Nashville, TN, US|1994|http://bioimages.vanderbilt.edu/vu-arboretum/trees-of-vu077|2015-04-06T15:08:18-05:00
nominal||nominal concept|||||2015-04-06T15:08:18-05:00
